//Format[dec]:Index(size) = Name 
000(1) = face_partsId
001(1) = skin_color_R
002(1) = skin_color_G
003(1) = skin_color_B
004(1) = skin_gloss
005(1) = skin_pores
006(1) = face_beard
007(1) = face_aroundEye
008(1) = face_aroundEyeColor_R
009(1) = face_aroundEyeColor_G
010(1) = face_aroundEyeColor_B
011(1) = face_cheek
012(1) = face_cheekColor_R
013(1) = face_cheekColor_G
014(1) = face_cheekColor_B
015(1) = face_eyeLine
016(1) = face_eyeLineColor_R
017(1) = face_eyeLineColor_G
018(1) = face_eyeLineColor_B
019(1) = face_eyeShadowDown
020(1) = face_eyeShadowDownColor_R
021(1) = face_eyeShadowDownColor_G
022(1) = face_eyeShadowDownColor_B
023(1) = face_eyeShadowUp
024(1) = face_eyeShadowUpColor_R
025(1) = face_eyeShadowUpColor_G
026(1) = face_eyeShadowUpColor_B
027(1) = face_lip
028(1) = face_lipColor_R
029(1) = face_lipColor_G
030(1) = face_lipColor_B
031(1) = body_hair
032(1) = body_hairColor_R
033(1) = body_hairColor_G
034(1) = body_hairColor_B
035(1) = eye_partsId
036(1) = eyeR_irisColor_R
037(1) = eyeR_irisColor_G
038(1) = eyeR_irisColor_B
039(1) = eyeR_irisScale
040(1) = eyeR_cataract
041(1) = eyeR_cataractColor_R
042(1) = eyeR_cataractColor_G
043(1) = eyeR_cataractColor_B
044(1) = eyeR_scleraColor_R
045(1) = eyeR_scleraColor_G
046(1) = eyeR_scleraColor_B
047(1) = eyeR_irisDistance
048(1) = eyeL_irisColor_R
049(1) = eyeL_irisColor_G
050(1) = eyeL_irisColor_B
051(1) = eyeL_irisScale
052(1) = eyeL_cataract
053(1) = eyeL_cataractColor_R
054(1) = eyeL_cataractColor_G
055(1) = eyeL_cataractColor_B
056(1) = eyeL_scleraColor_R
057(1) = eyeL_scleraColor_G
058(1) = eyeL_scleraColor_B
059(1) = eyeL_irisDistance
060(1) = hair_partsId
061(1) = hair_color_R
062(1) = hair_color_G
063(1) = hair_color_B
064(1) = hair_shininess
065(1) = hair_rootBlack
066(1) = hair_whiteDensity
067(1) = beard_partsId
068(1) = beard_color_R
069(1) = beard_color_G
070(1) = beard_color_B
071(1) = beard_shininess
