//Format[dec]:Index(size) = Name 
000(4) = sfxId_00
001(4) = sfxId_01
002(4) = sfxId_02
003(4) = sfxId_03
004(4) = sfxId_04
005(4) = sfxId_05
006(4) = sfxId_06
007(4) = sfxId_07
008(4) = sfxId_08
009(4) = sfxId_09
010(4) = sfxId_10
011(4) = sfxId_11
012(4) = sfxId_12
013(4) = sfxId_13
014(4) = sfxId_14
015(4) = sfxId_15
016(4) = sfxId_16
017(4) = sfxId_17
018(4) = sfxId_18
019(4) = sfxId_19
020(4) = sfxId_20
021(4) = sfxId_21
022(4) = sfxId_22
023(4) = sfxId_23
024(4) = sfxId_24
025(4) = sfxId_25
026(4) = sfxId_26
027(4) = sfxId_27
028(4) = sfxId_28
029(4) = sfxId_29
030(4) = sfxId_30
031(4) = sfxId_31
032(4) = sfxId_32
033(4) = sfxId_33
034(4) = sfxId_34
035(4) = sfxId_35
036(4) = sfxId_36
037(4) = sfxId_37
038(4) = sfxId_38
039(4) = sfxId_39
040(4) = sfxId_40
041(4) = sfxId_41
042(4) = sfxId_42
043(4) = sfxId_43
044(4) = sfxId_44
045(4) = sfxId_45
046(4) = sfxId_46
047(4) = sfxId_47
048(4) = sfxId_48
049(4) = sfxId_49
050(4) = sfxId_50
051(4) = sfxId_51
052(4) = sfxId_52
053(4) = sfxId_53
054(4) = sfxId_54
055(4) = sfxId_55
056(4) = sfxId_56
057(4) = sfxId_57
058(4) = sfxId_58
059(4) = sfxId_59
060(4) = sfxId_60
061(4) = sfxId_61
062(4) = sfxId_62
063(4) = sfxId_63
064(4) = sfxId_64
065(4) = sfxId_65
066(4) = sfxId_66
067(4) = sfxId_67
068(4) = sfxId_68
069(4) = sfxId_69
070(4) = sfxId_70
071(4) = sfxId_71
072(4) = sfxId_72
073(4) = sfxId_73
074(4) = sfxId_74
075(4) = sfxId_75
076(4) = sfxId_76
077(4) = sfxId_77
078(4) = sfxId_78
079(4) = sfxId_79
080(4) = sfxId_80
081(4) = sfxId_81
082(4) = sfxId_82
083(4) = sfxId_83
084(4) = sfxId_84
085(4) = sfxId_85
086(4) = sfxId_86
087(4) = sfxId_87
088(4) = sfxId_88
089(4) = sfxId_89
090(4) = sfxId_90
091(4) = sfxId_91
092(4) = sfxId_92
093(4) = sfxId_93
094(4) = sfxId_94
095(4) = sfxId_95
096(4) = sfxId_96
097(4) = sfxId_97
098(4) = sfxId_98
099(4) = sfxId_99
100(4) = sfxId_100
101(4) = sfxId_101
102(4) = sfxId_102
103(4) = sfxId_103
104(4) = sfxId_104
105(4) = sfxId_105
106(4) = sfxId_106
107(4) = sfxId_107
108(4) = sfxId_108
109(4) = sfxId_109
110(4) = sfxId_110
111(4) = sfxId_111
112(4) = sfxId_112
113(4) = sfxId_113
114(4) = sfxId_114
115(4) = sfxId_115
116(4) = sfxId_116
117(4) = sfxId_117
118(4) = sfxId_118
119(4) = sfxId_119
120(4) = sfxId_120
121(4) = sfxId_121
122(4) = sfxId_122
123(4) = sfxId_123
124(4) = sfxId_124
125(4) = sfxId_125
126(4) = sfxId_126
127(4) = sfxId_127
128(4) = sfxId_128
129(4) = sfxId_129
130(4) = sfxId_130
131(4) = sfxId_131
132(4) = sfxId_132
133(4) = sfxId_133
134(4) = sfxId_134
135(4) = sfxId_135
136(4) = sfxId_136
137(4) = sfxId_137
138(4) = sfxId_138
139(4) = sfxId_139
140(4) = sfxId_140
141(4) = sfxId_141
142(4) = sfxId_142
143(4) = sfxId_143
144(4) = sfxId_144
145(4) = sfxId_145
146(4) = sfxId_146
147(4) = sfxId_147
148(4) = sfxId_148
149(4) = sfxId_149
150(4) = sfxId_150
151(4) = sfxId_151
152(4) = sfxId_152
153(4) = sfxId_153
154(4) = sfxId_154
155(4) = sfxId_155
156(4) = sfxId_156
157(4) = sfxId_157
158(4) = sfxId_158
159(4) = sfxId_159
160(4) = sfxId_160
161(4) = sfxId_161
162(4) = sfxId_162
163(4) = sfxId_163
164(4) = sfxId_164
165(4) = sfxId_165
166(4) = sfxId_166
167(4) = sfxId_167
168(4) = sfxId_168
169(4) = sfxId_169
170(4) = sfxId_170
171(4) = sfxId_171
172(4) = sfxId_172
173(4) = sfxId_173
174(4) = sfxId_174
175(4) = sfxId_175
176(4) = sfxId_176
177(4) = sfxId_177
178(4) = sfxId_178
179(4) = sfxId_179
180(4) = sfxId_180
181(4) = sfxId_181
182(4) = sfxId_182
183(4) = sfxId_183
184(4) = sfxId_184
185(4) = sfxId_185
186(4) = sfxId_186
187(4) = sfxId_187
188(4) = sfxId_188
189(4) = sfxId_189
190(4) = sfxId_190
191(4) = sfxId_191
192(4) = sfxId_192
193(4) = sfxId_193
194(4) = sfxId_194
195(4) = sfxId_195
196(4) = sfxId_196
197(4) = sfxId_197
198(4) = sfxId_198
199(4) = sfxId_199
