//Format[dec]:Index(size) = Name 
000(4) = playerFootEffect_bySFX
001(4) = snipeModeDrawAlpha_FadeTime
002(4) = toughnessRecoverCorrection
003(1) = baseMagicSlotSize
004(1) = baseAccSlotNum
005(2) = reserved02
006(4) = animeID_DropItemPick
007(4) = resistRecoverPoint_Sleep_Player
008(4) = flareOverrideHomingAngle
009(4) = flareOverrideHomingStopRange
010(4) = animeID_SleepCollectorItemPick
011(4) = unlockEventFlagBaseId_forWepAttr
012(4) = systemEnchant_BigRune
013(4) = lowStatus_AtkPowDown
014(4) = lowStatus_ConsumeStaminaRate
015(2) = lowStatus_AtkGuardBreak
016(2) = guardStatusCorrect_MaxStatusVal
017(2) = unlockEventFlagStepNum_forWepAttr
018(2) = retributionMagic_damageCountNum
019(2) = retributionMagic_damageCountRemainTime
020(2) = retributionMagic_burstDmypolyId
021(4) = retributionMagic_burstMagicParamId
022(4) = chrAimCam_rideOffsetHeight
023(4) = reserved23
024(4) = arrowCaseWepBindDmypolyId
025(4) = boltPouchWepBindDmypolyId
026(4) = estusFlaskAllocateRate
027(2) = reserved38
028(1) = kickAcceptanceDeg
029(1) = npcPlayerAnalogWeightRate_Light
030(1) = npcPlayerAnalogWeightRate_Normal
031(1) = npcPlayerAnalogWeightRate_Heavy
032(1) = npcPlayerAnalogWeightRate_WeightOver
033(1) = npcPlayerAnalogWeightRate_SuperLight
034(4) = reserved45
035(4) = clearCountCorrectBaseSpEffectId
036(4) = arrowBoltModelIdOffset
037(1) = arrowBoltRemainingNumModelMaskThreshold1
038(1) = arrowBoltRemainingNumModelMaskThreshold2
039(2) = reserved27
040(4) = resistRecoverPoint_Poision_Player
041(4) = resistRecoverPoint_Desease_Player
042(4) = resistRecoverPoint_Blood_Player
043(4) = resistRecoverPoint_Curse_Player
044(4) = resistRecoverPoint_Freeze_Player
045(4) = resistRecoverPoint_Poision_Enemy
046(4) = resistRecoverPoint_Desease_Enemy
047(4) = resistRecoverPoint_Blood_Enemy
048(4) = resistRecoverPoint_Curse_Enemy
049(4) = resistRecoverPoint_Freeze_Enemy
050(4) = requestTimeLeftBothHand
051(4) = resistRecoverPoint_Madness_Player
052(4) = animeID_MaterialItemPick
053(4) = hpEstusFlaskAllocateRateForYellowMonk
054(4) = hpEstusFlaskAllocateOffsetForYellowMonk
055(4) = mpEstusFlaskAllocateRateForYellowMonk
056(4) = mpEstusFlaskAllocateOffsetForYellowMonk
057(4) = resistRecoverPoint_Sleep_Enemy
058(4) = resistRecoverPoint_Madness_Enemy
059(4) = resistCurseItemId
060(1) = resistCurseItemMaxNum
061(3) = reserved_123
062(4) = resistCurseItemSpEffectBaseId
063(4) = resistCurseItemLotParamId_map
064(52) = reserved41
