//Format[hex]:Index(size) = Name 
000(4) = playerFootEffect_bySFX
004(4) = snipeModeDrawAlpha_FadeTime
008(4) = toughnessRecoverCorrection
00C(1) = baseMagicSlotSize
00D(1) = baseAccSlotNum
00E(2) = reserved02
010(4) = animeID_DropItemPick
014(4) = resistRecoverPoint_Sleep_Player
018(4) = flareOverrideHomingAngle
01C(4) = flareOverrideHomingStopRange
020(4) = animeID_SleepCollectorItemPick
024(4) = unlockEventFlagBaseId_forWepAttr
028(4) = systemEnchant_BigRune
02C(4) = lowStatus_AtkPowDown
030(4) = lowStatus_ConsumeStaminaRate
034(2) = lowStatus_AtkGuardBreak
036(2) = guardStatusCorrect_MaxStatusVal
038(2) = unlockEventFlagStepNum_forWepAttr
03A(2) = retributionMagic_damageCountNum
03C(2) = retributionMagic_damageCountRemainTime
03E(2) = retributionMagic_burstDmypolyId
040(4) = retributionMagic_burstMagicParamId
044(4) = chrAimCam_rideOffsetHeight
048(4) = reserved23
04C(4) = arrowCaseWepBindDmypolyId
050(4) = boltPouchWepBindDmypolyId
054(4) = estusFlaskAllocateRate
058(2) = reserved38
05A(1) = kickAcceptanceDeg
05B(1) = npcPlayerAnalogWeightRate_Light
05C(1) = npcPlayerAnalogWeightRate_Normal
05D(1) = npcPlayerAnalogWeightRate_Heavy
05E(1) = npcPlayerAnalogWeightRate_WeightOver
05F(1) = npcPlayerAnalogWeightRate_SuperLight
060(4) = reserved45
064(4) = clearCountCorrectBaseSpEffectId
068(4) = arrowBoltModelIdOffset
06C(1) = arrowBoltRemainingNumModelMaskThreshold1
06D(1) = arrowBoltRemainingNumModelMaskThreshold2
06E(2) = reserved27
070(4) = resistRecoverPoint_Poision_Player
074(4) = resistRecoverPoint_Desease_Player
078(4) = resistRecoverPoint_Blood_Player
07C(4) = resistRecoverPoint_Curse_Player
080(4) = resistRecoverPoint_Freeze_Player
084(4) = resistRecoverPoint_Poision_Enemy
088(4) = resistRecoverPoint_Desease_Enemy
08C(4) = resistRecoverPoint_Blood_Enemy
090(4) = resistRecoverPoint_Curse_Enemy
094(4) = resistRecoverPoint_Freeze_Enemy
098(4) = requestTimeLeftBothHand
09C(4) = resistRecoverPoint_Madness_Player
0A0(4) = animeID_MaterialItemPick
0A4(4) = hpEstusFlaskAllocateRateForYellowMonk
0A8(4) = hpEstusFlaskAllocateOffsetForYellowMonk
0AC(4) = mpEstusFlaskAllocateRateForYellowMonk
0B0(4) = mpEstusFlaskAllocateOffsetForYellowMonk
0B4(4) = resistRecoverPoint_Sleep_Enemy
0B8(4) = resistRecoverPoint_Madness_Enemy
0BC(4) = resistCurseItemId
0C0(1) = resistCurseItemMaxNum
0C1(3) = reserved_123
0C4(4) = resistCurseItemSpEffectBaseId
0C8(4) = resistCurseItemLotParamId_map
0CC(52) = reserved41
