//Format[dec]:Index(size) = Name 
000(1) = priority0
001(1) = priority1
002(1) = priority2
003(1) = priority3
004(1) = priority4
005(1) = priority5
006(1) = priority6
007(1) = priority7
008(1) = priority8
009(1) = priority9
010(1) = priority10
011(1) = priority11
012(1) = priority12
013(1) = priority13
014(1) = priority14
015(1) = priority15
016(1) = priority16
017(1) = priority17
018(1) = priority18
019(1) = priority19
020(1) = priority20
021(1) = priority21
022(1) = priority22
023(1) = priority23
024(1) = priority24
025(1) = priority25
026(1) = priority26
027(1) = priority27
028(1) = priority28
029(1) = priority29
030(1) = priority30
031(1) = priority31
032(12) = dummy
033(4) = phyisicalKey
034(1) = traitsType
035(1) = a2dOperator
036(1) = applyTarget
037(1) = isAnalog
038(1) = enableWin64
039(1) = enablePS4
040(1) = enableXboxOne
041(4) = time1
042(4) = time2
043(4) = a2dThreshold
044(4) = phyisicalKey
045(1) = traitsType
046(1) = a2dOperator
047(1) = applyTarget
048(1) = isAnalog
049(1) = enableWin64
050(1) = enablePS4
051(1) = enableXboxOne
052(4) = time1
053(4) = time2
054(4) = a2dThreshold
055(4) = phyisicalKey
056(1) = traitsType
057(1) = a2dOperator
058(1) = applyTarget
059(1) = isAnalog
060(1) = enableWin64
061(1) = enablePS4
062(1) = enableXboxOne
063(4) = time1
064(4) = time2
065(4) = a2dThreshold
066(4) = phyisicalKey
067(1) = traitsType
068(1) = a2dOperator
069(1) = applyTarget
070(1) = isAnalog
071(1) = enableWin64
072(1) = enablePS4
073(1) = enableXboxOne
074(4) = time1
075(4) = time2
076(4) = a2dThreshold
077(4) = phyisicalKey
078(1) = traitsType
079(1) = a2dOperator
080(1) = applyTarget
081(1) = isAnalog
082(1) = enableWin64
083(1) = enablePS4
084(1) = enableXboxOne
085(4) = time1
086(4) = time2
087(4) = a2dThreshold
088(4) = phyisicalKey
089(1) = traitsType
090(1) = a2dOperator
091(1) = applyTarget
092(1) = isAnalog
093(1) = enableWin64
094(1) = enablePS4
095(1) = enableXboxOne
096(4) = time1
097(4) = time2
098(4) = a2dThreshold
099(4) = phyisicalKey
100(1) = traitsType
101(1) = a2dOperator
102(1) = applyTarget
103(1) = isAnalog
104(1) = enableWin64
105(1) = enablePS4
106(1) = enableXboxOne
107(4) = time1
108(4) = time2
109(4) = a2dThreshold
110(4) = phyisicalKey
111(1) = traitsType
112(1) = a2dOperator
113(1) = applyTarget
114(1) = isAnalog
115(1) = enableWin64
116(1) = enablePS4
117(1) = enableXboxOne
118(4) = time1
119(4) = time2
120(4) = a2dThreshold
