//Format[hex]:Index(size) = Name 
000(1) = face_partsId
001(1) = skin_color_R
002(1) = skin_color_G
003(1) = skin_color_B
004(1) = skin_gloss
005(1) = skin_pores
006(1) = face_beard
007(1) = face_aroundEye
008(1) = face_aroundEyeColor_R
009(1) = face_aroundEyeColor_G
00A(1) = face_aroundEyeColor_B
00B(1) = face_cheek
00C(1) = face_cheekColor_R
00D(1) = face_cheekColor_G
00E(1) = face_cheekColor_B
00F(1) = face_eyeLine
010(1) = face_eyeLineColor_R
011(1) = face_eyeLineColor_G
012(1) = face_eyeLineColor_B
013(1) = face_eyeShadowDown
014(1) = face_eyeShadowDownColor_R
015(1) = face_eyeShadowDownColor_G
016(1) = face_eyeShadowDownColor_B
017(1) = face_eyeShadowUp
018(1) = face_eyeShadowUpColor_R
019(1) = face_eyeShadowUpColor_G
01A(1) = face_eyeShadowUpColor_B
01B(1) = face_lip
01C(1) = face_lipColor_R
01D(1) = face_lipColor_G
01E(1) = face_lipColor_B
01F(1) = body_hair
020(1) = body_hairColor_R
021(1) = body_hairColor_G
022(1) = body_hairColor_B
023(1) = eye_partsId
024(1) = eyeR_irisColor_R
025(1) = eyeR_irisColor_G
026(1) = eyeR_irisColor_B
027(1) = eyeR_irisScale
028(1) = eyeR_cataract
029(1) = eyeR_cataractColor_R
02A(1) = eyeR_cataractColor_G
02B(1) = eyeR_cataractColor_B
02C(1) = eyeR_scleraColor_R
02D(1) = eyeR_scleraColor_G
02E(1) = eyeR_scleraColor_B
02F(1) = eyeR_irisDistance
030(1) = eyeL_irisColor_R
031(1) = eyeL_irisColor_G
032(1) = eyeL_irisColor_B
033(1) = eyeL_irisScale
034(1) = eyeL_cataract
035(1) = eyeL_cataractColor_R
036(1) = eyeL_cataractColor_G
037(1) = eyeL_cataractColor_B
038(1) = eyeL_scleraColor_R
039(1) = eyeL_scleraColor_G
03A(1) = eyeL_scleraColor_B
03B(1) = eyeL_irisDistance
03C(1) = hair_partsId
03D(1) = hair_color_R
03E(1) = hair_color_G
03F(1) = hair_color_B
040(1) = hair_shininess
041(1) = hair_rootBlack
042(1) = hair_whiteDensity
043(1) = beard_partsId
044(1) = beard_color_R
045(1) = beard_color_G
