//Format[dec]:Index(size) = Name 
000(4) = damage_Min_ContTime
001(4) = damage_S_ContTime
002(4) = damage_M_ContTime
003(4) = damage_L_ContTime
004(4) = damage_BlowS_ContTime
005(4) = damage_BlowM_ContTime
006(4) = damage_Strike_ContTime
007(4) = damage_Uppercut_ContTime
008(4) = damage_Push_ContTime
009(4) = damage_Breath_ContTime
010(4) = damage_HeadShot_ContTime
011(4) = guard_S_ContTime
012(4) = guard_L_ContTime
013(4) = guard_LL_ContTime
014(4) = guardBrake_ContTime
015(4) = damage_Min_DecTime
016(4) = damage_S_DecTime
017(4) = damage_M_DecTime
018(4) = damage_L_DecTime
019(4) = damage_BlowS_DecTime
020(4) = damage_BlowM_DecTime
021(4) = damage_Strike_DecTime
022(4) = damage_Uppercut_DecTime
023(4) = damage_Push_DecTime
024(4) = damage_Breath_DecTime
025(4) = damage_HeadShot_DecTime
026(4) = guard_S_DecTime
027(4) = guard_L_DecTime
028(4) = guard_LL_DecTime
029(4) = guardBrake_DecTime
030(8) = pad
