//Format[dec]:Index(size) = Name 
000(1) = slot0
001(1) = slot1
002(1) = slot2
003(1) = slot3
004(1) = slot4
005(1) = slot5
006(1) = slot6
007(1) = slot7
008(1) = slot8
009(1) = slot9
010(1) = slot10
011(1) = slot11
012(1) = slot12
013(1) = slot13
014(1) = slot14
015(1) = slot15
016(1) = slot16
017(1) = slot17
018(1) = slot18
019(1) = slot19
020(1) = slot20
021(1) = slot21
022(1) = slot22
023(1) = slot23
024(1) = slot24
025(1) = slot25
026(1) = slot26
027(1) = slot27
028(1) = slot28
029(1) = slot29
030(1) = slot30
031(1) = slot31
032(1) = slot32
033(1) = slot33
034(1) = slot34
035(1) = slot35
036(1) = slot36
037(1) = slot37
038(1) = slot38
039(1) = slot39
040(1) = slot40
041(1) = slot41
042(1) = slot42
043(1) = slot43
044(1) = slot44
045(1) = slot45
046(1) = slot46
047(1) = slot47
048(1) = slot48
049(1) = slot49
050(1) = slot50
051(1) = slot51
052(1) = slot52
053(1) = slot53
054(1) = slot54
055(1) = slot55
056(1) = slot56
057(1) = slot57
058(1) = slot58
059(1) = slot59
060(1) = slot60
061(1) = slot61
062(1) = slot62
063(1) = slot63
064(1) = slot64
065(1) = slot65
066(1) = slot66
067(1) = slot67
068(1) = slot68
069(1) = slot69
070(1) = slot70
071(1) = slot71
072(1) = slot72
073(1) = slot73
074(1) = slot74
075(1) = slot75
076(1) = slot76
077(1) = slot77
078(1) = slot78
079(1) = slot79
080(1) = slot80
081(1) = slot81
082(1) = slot82
083(1) = slot83
084(1) = slot84
085(1) = slot85
086(1) = slot86
087(1) = slot87
088(1) = slot88
089(1) = slot89
090(1) = slot90
091(1) = slot91
092(1) = slot92
093(1) = slot93
094(1) = slot94
095(1) = slot95
096(1) = slot96
097(1) = slot97
098(1) = slot98
099(1) = slot99
100(1) = pad
