//Format[dec]:Index(size) = Name 
000(2) = atk0_EzStateId
001(2) = atk1_EzStateId
002(2) = atk2_EzStateId
003(2) = atk3_EzStateId
004(2) = atk4_EzStateId
005(2) = atk5_EzStateId
006(2) = atk6_EzStateId
007(2) = atk7_EzStateId
008(2) = atk8_EzStateId
009(2) = atk9_EzStateId
010(2) = atk10_EzStateId
011(2) = atk11_EzStateId
012(2) = atk12_EzStateId
013(2) = atk13_EzStateId
014(2) = atk14_EzStateId
015(2) = atk15_EzStateId
016(2) = atk16_EzStateId
017(2) = atk17_EzStateId
018(2) = atk18_EzStateId
019(2) = atk19_EzStateId
020(2) = atk20_EzStateId
021(2) = atk21_EzStateId
022(2) = atk22_EzStateId
023(2) = atk23_EzStateId
024(2) = atk24_EzStateId
025(2) = atk25_EzStateId
026(2) = atk26_EzStateId
027(2) = atk27_EzStateId
028(2) = atk28_EzStateId
029(2) = atk29_EzStateId
030(2) = atk0_MinDist
031(2) = atk1_MinDist
032(2) = atk2_MinDist
033(2) = atk3_MinDist
034(2) = atk4_MinDist
035(2) = atk5_MinDist
036(2) = atk6_MinDist
037(2) = atk7_MinDist
038(2) = atk8_MinDist
039(2) = atk9_MinDist
040(2) = atk10_MinDist
041(2) = atk11_MinDist
042(2) = atk12_MinDist
043(2) = atk13_MinDist
044(2) = atk14_MinDist
045(2) = atk15_MinDist
046(2) = atk16_MinDist
047(2) = atk17_MinDist
048(2) = atk18_MinDist
049(2) = atk19_MinDist
050(2) = atk20_MinDist
051(2) = atk21_MinDist
052(2) = atk22_MinDist
053(2) = atk23_MinDist
054(2) = atk24_MinDist
055(2) = atk25_MinDist
056(2) = atk26_MinDist
057(2) = atk27_MinDist
058(2) = atk28_MinDist
059(2) = atk29_MinDist
060(2) = atk0_MaxDist
061(2) = atk1_MaxDist
062(2) = atk2_MaxDist
063(2) = atk3_MaxDist
064(2) = atk4_MaxDist
065(2) = atk5_MaxDist
066(2) = atk6_MaxDist
067(2) = atk7_MaxDist
068(2) = atk8_MaxDist
069(2) = atk9_MaxDist
070(2) = atk10_MaxDist
071(2) = atk11_MaxDist
072(2) = atk12_MaxDist
073(2) = atk13_MaxDist
074(2) = atk14_MaxDist
075(2) = atk15_MaxDist
076(2) = atk16_MaxDist
077(2) = atk17_MaxDist
078(2) = atk18_MaxDist
079(2) = atk19_MaxDist
080(2) = atk20_MaxDist
081(2) = atk21_MaxDist
082(2) = atk22_MaxDist
083(2) = atk23_MaxDist
084(2) = atk24_MaxDist
085(2) = atk25_MaxDist
086(2) = atk26_MaxDist
087(2) = atk27_MaxDist
088(2) = atk28_MaxDist
089(2) = atk29_MaxDist
090(1) = atk0_AtkDistType
091(1) = atk1_AtkDistType
092(1) = atk2_AtkDistType
093(1) = atk3_AtkDistType
094(1) = atk4_AtkDistType
095(1) = atk5_AtkDistType
096(1) = atk6_AtkDistType
097(1) = atk7_AtkDistType
098(1) = atk8_AtkDistType
099(1) = atk9_AtkDistType
100(1) = atk10_AtkDistType
101(1) = atk11_AtkDistType
102(1) = atk12_AtkDistType
103(1) = atk13_AtkDistType
104(1) = atk14_AtkDistType
105(1) = atk15_AtkDistType
106(1) = atk16_AtkDistType
107(1) = atk17_AtkDistType
108(1) = atk18_AtkDistType
109(1) = atk19_AtkDistType
110(1) = atk20_AtkDistType
111(1) = atk21_AtkDistType
112(1) = atk22_AtkDistType
113(1) = atk23_AtkDistType
114(1) = atk24_AtkDistType
115(1) = atk25_AtkDistType
116(1) = atk26_AtkDistType
117(1) = atk27_AtkDistType
118(1) = atk28_AtkDistType
119(1) = atk29_AtkDistType
120(13) = pad0
