//Format[hex]:Index(size) = Name 
000(4) = sfxId_00
004(4) = sfxId_01
008(4) = sfxId_02
00C(4) = sfxId_03
010(4) = sfxId_04
014(4) = sfxId_05
018(4) = sfxId_06
01C(4) = sfxId_07
020(4) = sfxId_08
024(4) = sfxId_09
028(4) = sfxId_10
02C(4) = sfxId_11
030(4) = sfxId_12
034(4) = sfxId_13
038(4) = sfxId_14
03C(4) = sfxId_15
040(4) = sfxId_16
044(4) = sfxId_17
048(4) = sfxId_18
04C(4) = sfxId_19
050(4) = sfxId_20
054(4) = sfxId_21
058(4) = sfxId_22
05C(4) = sfxId_23
060(4) = sfxId_24
064(4) = sfxId_25
068(4) = sfxId_26
06C(4) = sfxId_27
070(4) = sfxId_28
074(4) = sfxId_29
078(4) = sfxId_30
07C(4) = sfxId_31
