//Format[dec]:Index(size) = Name 
000(1) = isStrengthCorrect_byPhysics
001(1) = isDexterityCorrect_byPhysics
002(1) = isMagicCorrect_byPhysics
003(1) = isFaithCorrect_byPhysics
004(1) = isLuckCorrect_byPhysics
005(1) = isStrengthCorrect_byMagic
006(1) = isDexterityCorrect_byMagic
007(1) = isMagicCorrect_byMagic
008(1) = isFaithCorrect_byMagic
009(1) = isLuckCorrect_byMagic
010(1) = isStrengthCorrect_byFire
011(1) = isDexterityCorrect_byFire
012(1) = isMagicCorrect_byFire
013(1) = isFaithCorrect_byFire
014(1) = isLuckCorrect_byFire
015(1) = isStrengthCorrect_byThunder
016(1) = isDexterityCorrect_byThunder
017(1) = isMagicCorrect_byThunder
018(1) = isFaithCorrect_byThunder
019(1) = isLuckCorrect_byThunder
020(1) = isStrengthCorrect_byDark
021(1) = isDexterityCorrect_byDark
022(1) = isMagicCorrect_byDark
023(1) = isFaithCorrect_byDark
024(1) = isLuckCorrect_byDark
025(1) = pad1
026(2) = overwriteStrengthCorrectRate_byPhysics
027(2) = overwriteDexterityCorrectRate_byPhysics
028(2) = overwriteMagicCorrectRate_byPhysics
029(2) = overwriteFaithCorrectRate_byPhysics
030(2) = overwriteLuckCorrectRate_byPhysics
031(2) = overwriteStrengthCorrectRate_byMagic
032(2) = overwriteDexterityCorrectRate_byMagic
033(2) = overwriteMagicCorrectRate_byMagic
034(2) = overwriteFaithCorrectRate_byMagic
035(2) = overwriteLuckCorrectRate_byMagic
036(2) = overwriteStrengthCorrectRate_byFire
037(2) = overwriteDexterityCorrectRate_byFire
038(2) = overwriteMagicCorrectRate_byFire
039(2) = overwriteFaithCorrectRate_byFire
040(2) = overwriteLuckCorrectRate_byFire
041(2) = overwriteStrengthCorrectRate_byThunder
042(2) = overwriteDexterityCorrectRate_byThunder
043(2) = overwriteMagicCorrectRate_byThunder
044(2) = overwriteFaithCorrectRate_byThunder
045(2) = overwriteLuckCorrectRate_byThunder
046(2) = overwriteStrengthCorrectRate_byDark
047(2) = overwriteDexterityCorrectRate_byDark
048(2) = overwriteMagicCorrectRate_byDark
049(2) = overwriteFaithCorrectRate_byDark
050(2) = overwriteLuckCorrectRate_byDark
051(2) = InfluenceStrengthCorrectRate_byPhysics
052(2) = InfluenceDexterityCorrectRate_byPhysics
053(2) = InfluenceMagicCorrectRate_byPhysics
054(2) = InfluenceFaithCorrectRate_byPhysics
055(2) = InfluenceLuckCorrectRate_byPhysics
056(2) = InfluenceStrengthCorrectRate_byMagic
057(2) = InfluenceDexterityCorrectRate_byMagic
058(2) = InfluenceMagicCorrectRate_byMagic
059(2) = InfluenceFaithCorrectRate_byMagic
060(2) = InfluenceLuckCorrectRate_byMagic
061(2) = InfluenceStrengthCorrectRate_byFire
062(2) = InfluenceDexterityCorrectRate_byFire
063(2) = InfluenceMagicCorrectRate_byFire
064(2) = InfluenceFaithCorrectRate_byFire
065(2) = InfluenceLuckCorrectRate_byFire
066(2) = InfluenceStrengthCorrectRate_byThunder
067(2) = InfluenceDexterityCorrectRate_byThunder
068(2) = InfluenceMagicCorrectRate_byThunder
069(2) = InfluenceFaithCorrectRate_byThunder
070(2) = InfluenceLuckCorrectRate_byThunder
071(2) = InfluenceStrengthCorrectRate_byDark
072(2) = InfluenceDexterityCorrectRate_byDark
073(2) = InfluenceMagicCorrectRate_byDark
074(2) = InfluenceFaithCorrectRate_byDark
075(2) = InfluenceLuckCorrectRate_byDark
076(24) = pad2
