//Format[dec]:Index(size) = Name 
000(4) = face_partsId
001(4) = skin_color_R
002(4) = skin_color_G
003(4) = skin_color_B
004(4) = skin_gloss
005(4) = skin_pores
006(4) = face_beard
007(4) = face_aroundEye
008(4) = face_aroundEyeColor_R
009(4) = face_aroundEyeColor_G
010(4) = face_aroundEyeColor_B
011(4) = face_cheek
012(4) = face_cheekColor_R
013(4) = face_cheekColor_G
014(4) = face_cheekColor_B
015(4) = face_eyeLine
016(4) = face_eyeLineColor_R
017(4) = face_eyeLineColor_G
018(4) = face_eyeLineColor_B
019(4) = face_eyeShadowDown
020(4) = face_eyeShadowDownColor_R
021(4) = face_eyeShadowDownColor_G
022(4) = face_eyeShadowDownColor_B
023(4) = face_eyeShadowUp
024(4) = face_eyeShadowUpColor_R
025(4) = face_eyeShadowUpColor_G
026(4) = face_eyeShadowUpColor_B
027(4) = face_lip
028(4) = face_lipColor_R
029(4) = face_lipColor_G
030(4) = face_lipColor_B
031(4) = body_hair
032(4) = body_hairColor_R
033(4) = body_hairColor_G
034(4) = body_hairColor_B
035(4) = eye_partsId
036(4) = eyeR_irisColor_R
037(4) = eyeR_irisColor_G
038(4) = eyeR_irisColor_B
039(4) = eyeR_irisScale
040(4) = eyeR_cataract
041(4) = eyeR_cataractColor_R
042(4) = eyeR_cataractColor_G
043(4) = eyeR_cataractColor_B
044(4) = eyeR_scleraColor_R
045(4) = eyeR_scleraColor_G
046(4) = eyeR_scleraColor_B
047(4) = eyeR_irisDistance
048(4) = eyeL_irisColor_R
049(4) = eyeL_irisColor_G
050(4) = eyeL_irisColor_B
051(4) = eyeL_irisScale
052(4) = eyeL_cataract
053(4) = eyeL_cataractColor_R
054(4) = eyeL_cataractColor_G
055(4) = eyeL_cataractColor_B
056(4) = eyeL_scleraColor_R
057(4) = eyeL_scleraColor_G
058(4) = eyeL_scleraColor_B
059(4) = eyeL_irisDistance
060(4) = hair_partsId
061(4) = hair_color_R
062(4) = hair_color_G
063(4) = hair_color_B
064(4) = hair_shininess
065(4) = hair_rootBlack
066(4) = hair_whiteDensity
067(4) = beard_partsId
068(4) = beard_color_R
069(4) = beard_color_G
070(4) = beard_color_B
071(4) = beard_shininess
072(4) = beard_rootBlack
073(4) = beard_whiteDensity
074(4) = eyebrow_partsId
