//Format[hex]:Index(size) = Name 
000(4) = sfxId_00
004(4) = sfxId_01
008(4) = sfxId_02
00C(4) = sfxId_03
010(4) = sfxId_04
014(4) = sfxId_05
018(4) = sfxId_06
01C(4) = sfxId_07
020(4) = sfxId_08
024(4) = sfxId_09
028(4) = sfxId_10
02C(4) = sfxId_11
030(4) = sfxId_12
034(4) = sfxId_13
038(4) = sfxId_14
03C(4) = sfxId_15
040(4) = sfxId_16
044(4) = sfxId_17
048(4) = sfxId_18
04C(4) = sfxId_19
050(4) = sfxId_20
054(4) = sfxId_21
058(4) = sfxId_22
05C(4) = sfxId_23
060(4) = sfxId_24
064(4) = sfxId_25
068(4) = sfxId_26
06C(4) = sfxId_27
070(4) = sfxId_28
074(4) = sfxId_29
078(4) = sfxId_30
07C(4) = sfxId_31
080(4) = sfxId_32
084(4) = sfxId_33
088(4) = sfxId_34
08C(4) = sfxId_35
090(4) = sfxId_36
094(4) = sfxId_37
098(4) = sfxId_38
09C(4) = sfxId_39
0A0(4) = sfxId_40
0A4(4) = sfxId_41
0A8(4) = sfxId_42
0AC(4) = sfxId_43
0B0(4) = sfxId_44
0B4(4) = sfxId_45
0B8(4) = sfxId_46
0BC(4) = sfxId_47
0C0(4) = sfxId_48
0C4(4) = sfxId_49
0C8(4) = sfxId_50
0CC(4) = sfxId_51
0D0(4) = sfxId_52
0D4(4) = sfxId_53
0D8(4) = sfxId_54
0DC(4) = sfxId_55
0E0(4) = sfxId_56
0E4(4) = sfxId_57
0E8(4) = sfxId_58
0EC(4) = sfxId_59
0F0(4) = sfxId_60
0F4(4) = sfxId_61
0F8(4) = sfxId_62
0FC(4) = sfxId_63
100(4) = sfxId_64
104(4) = sfxId_65
108(4) = sfxId_66
10C(4) = sfxId_67
110(4) = sfxId_68
114(4) = sfxId_69
118(4) = sfxId_70
11C(4) = sfxId_71
120(4) = sfxId_72
124(4) = sfxId_73
128(4) = sfxId_74
12C(4) = sfxId_75
130(4) = sfxId_76
134(4) = sfxId_77
138(4) = sfxId_78
13C(4) = sfxId_79
140(4) = sfxId_80
144(4) = sfxId_81
148(4) = sfxId_82
14C(4) = sfxId_83
150(4) = sfxId_84
154(4) = sfxId_85
158(4) = sfxId_86
15C(4) = sfxId_87
160(4) = sfxId_88
164(4) = sfxId_89
168(4) = sfxId_90
16C(4) = sfxId_91
170(4) = sfxId_92
174(4) = sfxId_93
178(4) = sfxId_94
17C(4) = sfxId_95
180(4) = sfxId_96
184(4) = sfxId_97
188(4) = sfxId_98
18C(4) = sfxId_99
190(4) = sfxId_100
194(4) = sfxId_101
198(4) = sfxId_102
19C(4) = sfxId_103
1A0(4) = sfxId_104
1A4(4) = sfxId_105
1A8(4) = sfxId_106
1AC(4) = sfxId_107
1B0(4) = sfxId_108
1B4(4) = sfxId_109
1B8(4) = sfxId_110
1BC(4) = sfxId_111
1C0(4) = sfxId_112
1C4(4) = sfxId_113
1C8(4) = sfxId_114
1CC(4) = sfxId_115
1D0(4) = sfxId_116
1D4(4) = sfxId_117
1D8(4) = sfxId_118
1DC(4) = sfxId_119
1E0(4) = sfxId_120
1E4(4) = sfxId_121
1E8(4) = sfxId_122
1EC(4) = sfxId_123
1F0(4) = sfxId_124
1F4(4) = sfxId_125
1F8(4) = sfxId_126
1FC(4) = sfxId_127
200(4) = sfxId_128
204(4) = sfxId_129
208(4) = sfxId_130
20C(4) = sfxId_131
210(4) = sfxId_132
214(4) = sfxId_133
218(4) = sfxId_134
21C(4) = sfxId_135
220(4) = sfxId_136
224(4) = sfxId_137
228(4) = sfxId_138
22C(4) = sfxId_139
230(4) = sfxId_140
234(4) = sfxId_141
238(4) = sfxId_142
23C(4) = sfxId_143
240(4) = sfxId_144
244(4) = sfxId_145
248(4) = sfxId_146
24C(4) = sfxId_147
250(4) = sfxId_148
254(4) = sfxId_149
258(4) = sfxId_150
25C(4) = sfxId_151
260(4) = sfxId_152
264(4) = sfxId_153
268(4) = sfxId_154
26C(4) = sfxId_155
270(4) = sfxId_156
274(4) = sfxId_157
278(4) = sfxId_158
27C(4) = sfxId_159
280(4) = sfxId_160
284(4) = sfxId_161
288(4) = sfxId_162
28C(4) = sfxId_163
290(4) = sfxId_164
294(4) = sfxId_165
298(4) = sfxId_166
29C(4) = sfxId_167
2A0(4) = sfxId_168
2A4(4) = sfxId_169
2A8(4) = sfxId_170
2AC(4) = sfxId_171
2B0(4) = sfxId_172
2B4(4) = sfxId_173
2B8(4) = sfxId_174
2BC(4) = sfxId_175
2C0(4) = sfxId_176
2C4(4) = sfxId_177
2C8(4) = sfxId_178
2CC(4) = sfxId_179
2D0(4) = sfxId_180
2D4(4) = sfxId_181
2D8(4) = sfxId_182
2DC(4) = sfxId_183
2E0(4) = sfxId_184
2E4(4) = sfxId_185
2E8(4) = sfxId_186
2EC(4) = sfxId_187
2F0(4) = sfxId_188
2F4(4) = sfxId_189
2F8(4) = sfxId_190
2FC(4) = sfxId_191
300(4) = sfxId_192
304(4) = sfxId_193
308(4) = sfxId_194
30C(4) = sfxId_195
310(4) = sfxId_196
314(4) = sfxId_197
318(4) = sfxId_198
31C(4) = sfxId_199
