//Format[dec]:Index(size) = Name 
000(4) = baseToughnessRecoverTime
001(4) = chrEventTrun_byLeft90
002(4) = chrEventTrun_byRight90
003(4) = chrEventTrun_byLeft180
004(4) = chrEventTrun_byRight180
005(2) = chrEventTrun_90TurnStartAngle
006(2) = chrEventTrun_180TurnStartAngle
007(4) = stealthAtkDamageRate
008(4) = flickDamageCutRateSuccessGurad
009(4) = npcTalkAnimBeginDiffAngle
010(4) = npcTalkAnimEndDiffAngle
011(4) = sleepCollectorItemActionButtonParamId
012(4) = allowUseBuddyItem_sfxInterval
013(4) = allowUseBuddyItem_sfxDmyPolyId
014(4) = allowUseBuddyItem_sfxDmyPolyId_horse
015(4) = allowUseBuddyItem_sfxId
016(4) = onBuddySummon_inActivateRange_sfxInterval
017(4) = onBuddySummon_inActivateRange_sfxDmyPolyId
018(4) = onBuddySummon_inActivateRange_sfxDmyPolyId_horse
019(4) = onBuddySummon_inActivateRange_sfxId
020(4) = onBuddySummon_inActivateRange_spEffectId_pc
021(4) = onBuddySummon_inWarnRange_spEffectId_pc
022(4) = onBuddySummon_atBuddyUnsummon_spEffectId_pc
023(4) = onBuddySummon_inWarnRange_spEffectId_buddy
024(1) = morningIngameHour
025(1) = morningIngameMinute
026(1) = morningIngameSecond
027(1) = noonIngameHour
028(1) = noonIngameMinute
029(1) = noonIngameSecond
030(1) = nightIngameHour
031(1) = nightIngameMinute
032(1) = nightIngameSecond
033(1) = aiSightRateStart_Morning_Hour
034(1) = aiSightRateStart_Morning_Minute
035(1) = aiSightRateStart_Noon_Hour
036(1) = aiSightRateStart_Noon_Minute
037(1) = aiSightRateStart_Evening_Hour
038(1) = aiSightRateStart_Evening_Minute
039(1) = aiSightRateStart_Night_Hour
040(1) = aiSightRateStart_Night_Minute
041(1) = aiSightRateStart_Midnight_Hour
042(1) = aiSightRateStart_Midnight_Minute
043(1) = saLargeDamageHitSfx_Threshold
044(4) = saLargeDamageHitSfx_SfxId
045(4) = signCreatableDistFromSafePos
046(4) = guestResummonDist
047(4) = guestLeavingMessageDistMax
048(4) = guestLeavingMessageDistMin
049(4) = guestLeaveSessionDist
050(4) = retryPointAreaRadius
051(4) = sleepCollectorSpEffectId
052(4) = recoverBelowMaxHpCompletionNoticeSpEffectId
053(4) = estusFlaskRecovery_AbsorptionProductionSfxId_byHp
054(4) = estusFlaskRecovery_AbsorptionProductionSfxId_byMp
055(4) = respawnSpecialEffectActiveCheckerSpEffectId
056(4) = onBuddySummon_inActivateRange_spEffectId_buddy
057(4) = estusFlaskRecovery_AddEstusTime
058(4) = defeatMultiModeEnemyOfSoulCorrectRate_byHost
059(4) = defeatMultiModeEnemyOfSoulCorrectRate_byTeamGhost
060(4) = defeatMultiModeBossOfSoulCorrectRate_byHost
