//Format[hex]:Index(size) = Name 
000(4) = baseToughnessRecoverTime
004(4) = chrEventTrun_byLeft90
008(4) = chrEventTrun_byRight90
00C(4) = chrEventTrun_byLeft180
010(4) = chrEventTrun_byRight180
014(2) = chrEventTrun_90TurnStartAngle
016(2) = chrEventTrun_180TurnStartAngle
018(4) = stealthAtkDamageRate
01C(4) = flickDamageCutRateSuccessGurad
020(4) = npcTalkAnimBeginDiffAngle
024(4) = npcTalkAnimEndDiffAngle
028(4) = sleepCollectorItemActionButtonParamId
02C(4) = allowUseBuddyItem_sfxInterval
030(4) = allowUseBuddyItem_sfxDmyPolyId
034(4) = allowUseBuddyItem_sfxDmyPolyId_horse
038(4) = allowUseBuddyItem_sfxId
03C(4) = onBuddySummon_inActivateRange_sfxInterval
040(4) = onBuddySummon_inActivateRange_sfxDmyPolyId
044(4) = onBuddySummon_inActivateRange_sfxDmyPolyId_horse
048(4) = onBuddySummon_inActivateRange_sfxId
04C(4) = onBuddySummon_inActivateRange_spEffectId_pc
050(4) = onBuddySummon_inWarnRange_spEffectId_pc
054(4) = onBuddySummon_atBuddyUnsummon_spEffectId_pc
058(4) = onBuddySummon_inWarnRange_spEffectId_buddy
05C(1) = morningIngameHour
05D(1) = morningIngameMinute
05E(1) = morningIngameSecond
05F(1) = noonIngameHour
060(1) = noonIngameMinute
061(1) = noonIngameSecond
062(1) = nightIngameHour
063(1) = nightIngameMinute
064(1) = nightIngameSecond
065(1) = aiSightRateStart_Morning_Hour
066(1) = aiSightRateStart_Morning_Minute
067(1) = aiSightRateStart_Noon_Hour
068(1) = aiSightRateStart_Noon_Minute
069(1) = aiSightRateStart_Evening_Hour
06A(1) = aiSightRateStart_Evening_Minute
06B(1) = aiSightRateStart_Night_Hour
06C(1) = aiSightRateStart_Night_Minute
06D(1) = aiSightRateStart_Midnight_Hour
06E(1) = aiSightRateStart_Midnight_Minute
06F(1) = saLargeDamageHitSfx_Threshold
070(4) = saLargeDamageHitSfx_SfxId
074(4) = signCreatableDistFromSafePos
078(4) = guestResummonDist
07C(4) = guestLeavingMessageDistMax
080(4) = guestLeavingMessageDistMin
084(4) = guestLeaveSessionDist
088(4) = retryPointAreaRadius
08C(4) = sleepCollectorSpEffectId
090(4) = recoverBelowMaxHpCompletionNoticeSpEffectId
094(4) = estusFlaskRecovery_AbsorptionProductionSfxId_byHp
098(4) = estusFlaskRecovery_AbsorptionProductionSfxId_byMp
09C(4) = respawnSpecialEffectActiveCheckerSpEffectId
0A0(4) = onBuddySummon_inActivateRange_spEffectId_buddy
0A4(4) = estusFlaskRecovery_AddEstusTime
0A8(4) = defeatMultiModeEnemyOfSoulCorrectRate_byHost
0AC(4) = defeatMultiModeEnemyOfSoulCorrectRate_byTeamGhost
0B0(4) = defeatMultiModeBossOfSoulCorrectRate_byHost
0B4(4) = defeatMultiModeBossOfSoulCorrectRate_byTeamGhost
0B8(2) = enemyHpGaugeScreenOffset_byUp
0BA(2) = playRegionCollectDist
0BC(2) = enemyDetectionSpEffect_ShootBulletDummypolyId
0BE(2) = bigRuneGreaterDemonBreakInGoodsNum
0C0(4) = bigRuneGreaterDemonBreakInGoodsId
0C4(4) = rideJumpRegionDefaultSfxId
0C8(4) = saAttackRate_forVsRideAtk
0CC(4) = enemySpEffectIdAfterSleepCollectorItemLot
0D0(4) = afterEndingMapUid
0D4(4) = afterEndingReturnPointEntityId
0D8(4) = enemyDetectionSpEffect_BulletId_byCoopRing_RedHunter
0DC(4) = enemyDetectionSpEffect_BulletId_byInvadeOrb_None
0E0(4) = tutorialFlagOnAccessDistView
0E4(4) = tutorialFlagOnAccessRetryPoint
0E8(4) = tutorialFlagOnGetGroupReward
0EC(4) = tutorialFlagOnEnterRideJumpRegion
0F0(4) = tutorialCheckRideJumpRegionExpandRange
0F4(4) = retryPointActivatedPcAnimId
0F8(4) = retryPointActivatedDialogDelayTime
0FC(4) = retryPointActivatedDialogTextId
100(4) = signPuddleOpenPcAnimId
104(4) = signPuddleOpenDialogDelayTime
108(4) = activityOfDeadSpEffect_BulletId
