//Format[hex]:Index(size) = Name 
000(4) = damage_Min_ContTime
004(4) = damage_S_ContTime
008(4) = damage_M_ContTime
00C(4) = damage_L_ContTime
010(4) = damage_BlowS_ContTime
014(4) = damage_BlowM_ContTime
018(4) = damage_Strike_ContTime
01C(4) = damage_Uppercut_ContTime
020(4) = damage_Push_ContTime
024(4) = damage_Breath_ContTime
028(4) = damage_HeadShot_ContTime
02C(4) = guard_S_ContTime
030(4) = guard_L_ContTime
034(4) = guard_LL_ContTime
038(4) = guardBrake_ContTime
03C(4) = damage_Min_DecTime
040(4) = damage_S_DecTime
044(4) = damage_M_DecTime
048(4) = damage_L_DecTime
04C(4) = damage_BlowS_DecTime
050(4) = damage_BlowM_DecTime
054(4) = damage_Strike_DecTime
058(4) = damage_Uppercut_DecTime
05C(4) = damage_Push_DecTime
060(4) = damage_Breath_DecTime
064(4) = damage_HeadShot_DecTime
068(4) = guard_S_DecTime
06C(4) = guard_L_DecTime
070(4) = guard_LL_DecTime
074(4) = guardBrake_DecTime
078(8) = pad
