//Format[hex]:Index(size) = Name 
000(4) = signVerticalOffset
004(4) = maxSignPosCorrectionRange
008(4) = summonTimeoutTime
00C(4) = pad
010(4) = signPuddleActiveMessageIntervalSec
014(4) = keyGuideHeight
018(4) = reloadSignIntervalTime1
01C(4) = reloadSignIntervalTime2
020(4) = reloadSignTotalCount
024(4) = reloadSignCellCount
028(4) = updateSignIntervalTime
02C(4) = basicExclusiveRange
030(4) = basicExclusiveHeight
034(4) = previewChrWaitingTime
038(4) = signVisibleRange
03C(4) = cellGroupHorizontalRange
040(4) = cellGroupTopRange
044(4) = cellGroupBottomRange
048(4) = minWhitePhantomLimitTimeScale
04C(4) = minSmallPhantomLimitTimeScale
050(4) = whiteKeywordLimitTimeScale
054(4) = smallKeywordLimitTimeScale
058(4) = blackKeywordLimitTimeScale
05C(4) = dragonKeywordLimitTimeScale
060(4) = singGetMax
064(4) = signDownloadSpan
068(4) = signUpdateSpan
06C(4) = signPad
070(4) = maxBreakInTargetListCount
074(4) = breakInRequestIntervalTimeSec
078(4) = breakInRequestTimeOutSec
07C(4) = pad
080(4) = keyGuideRange
084(4) = keyGuideHeight
088(4) = reloadSignTotalCount
08C(4) = reloadNewSignCellCount
090(4) = reloadRandomSignCellCount
094(4) = maxSignTotalCount
098(4) = maxSignCellCount
09C(4) = basicExclusiveRange
0A0(4) = basicExclusiveHeight
0A4(4) = signVisibleRange
0A8(4) = maxWriteSignCount
0AC(4) = maxReadSignCount
0B0(4) = reloadSignIntervalTime
0B4(4) = cellGroupHorizontalRange
0B8(4) = cellGroupTopRange
0BC(4) = cellGroupBottomRange
0C0(4) = lifeTime
0C4(4) = downloadSpan
0C8(4) = downloadEvaluationSpan
0CC(4) = pad
0D0(4) = deadingGhostStartPosThreshold
0D4(4) = keyGuideHeight
0D8(4) = keyGuideRangePlayer
0DC(4) = keyGuideHeightPlayer
0E0(4) = reloadSignTotalCount
0E4(4) = reloadSignCellCount
0E8(4) = maxSignTotalCount
0EC(4) = maxSignCellCount
0F0(4) = reloadSignIntervalTime
0F4(4) = signVisibleRange
0F8(4) = basicExclusiveRange
0FC(4) = basicExclusiveHeight
100(4) = cellGroupHorizontalRange
104(4) = cellGroupTopRange
108(4) = cellGroupBottomRange
10C(4) = lifeTime
110(4) = recordDeadingGhostTotalTime
114(4) = recordDeadingGhostMinTime
118(4) = downloadSpan
11C(4) = statueCreatableDistance
120(4) = reloadGhostTotalCount
124(4) = reloadGhostCellCount
128(4) = maxGhostTotalCount
12C(4) = distanceOfBeginRecordVersus
130(4) = distanceOfEndRecordVersus
134(4) = updateWanderGhostIntervalTime
138(4) = updateVersusGhostIntervalTime
13C(4) = recordWanderingGhostTime
140(4) = recordWanderingGhostMinTime
144(4) = updateBonfireGhostIntervalTime
148(4) = replayGhostRangeOnView
14C(4) = replayGhostRangeOutView
150(4) = replayBonfireGhostTime
154(4) = minBonfireGhostValidRange
158(4) = maxBonfireGhostValidRange
15C(4) = minReplayIntervalTime
160(4) = maxReplayIntervalTime
164(4) = reloadGhostIntervalTime
168(4) = cellGroupHorizontalRange
16C(4) = cellGroupTopRange
170(4) = replayBonfirePhantomParamIdForCodename
174(4) = replayBonfireModeRange
178(4) = replayBonfirePhantomParamId
17C(4) = ghostpad
180(4) = reloadVisitListCoolTime
184(4) = maxCoopBlueSummonCount
188(4) = maxBellGuardSummonCount
18C(4) = maxVisitListCount
190(4) = reloadSearch_CoopBlue_Min
194(4) = reloadSearch_CoopBlue_Max
198(4) = reloadSearch_BellGuard_Min
19C(4) = reloadSearch_BellGuard_Max
1A0(4) = reloadSearch_RatKing_Min
1A4(4) = reloadSearch_RatKing_Max
1A8(8) = visitpad00
1B0(4) = srttMaxLimit
1B4(4) = srttMeanLimit
1B8(4) = srttMeanDeviationLimit
1BC(4) = darkPhantomLimitBoostTime
1C0(4) = darkPhantomLimitBoostScale
1C4(4) = multiplayDisableLifeTime
1C8(1) = abyssMultiplayLimit
1C9(1) = phantomWarpMinimumTime
1CA(1) = phantomReturnDelayTime
1CB(1) = terminateTimeoutTime
1CC(2) = penaltyPointLanDisconnect
1CE(2) = penaltyPointSignout
1D0(2) = penaltyPointReboot
1D2(2) = penaltyPointBeginPenalize
1D4(4) = penaltyForgiveItemLimitTime
1D8(1) = allAreaSearchRate_CoopBlue
1D9(1) = allAreaSearchRate_VsBlue
1DA(1) = allAreaSearchRate_BellGuard
1DB(1) = bloodMessageEvalHealRate
1DC(4) = smallGoldSuccessHostRewardId
1E0(4) = doorInvalidPlayAreaExtents
1E4(1) = signDisplayMax
1E5(1) = bloodStainDisplayMax
1E6(1) = bloodMessageDisplayMax
1E7(9) = pad00
1F0(32) = pad10
210(4) = summonMessageInterval
214(4) = hostRegisterUpdateTime
218(4) = hostTimeOutTime
21C(4) = guestUpdateTime
220(4) = guestPlayerNoTimeOutTime
224(4) = hostPlayerNoTimeOutTime
228(4) = requestSearchQuickMatchLimit
22C(4) = AvatarMatchSearchMax
230(4) = BattleRoyalMatchSearchMin
234(4) = BattleRoyalMatchSearchMax
238(8) = pad11
240(4) = VisitorListMax
244(4) = VisitorTimeOutTime
248(4) = DownloadSpan
24C(4) = VisitorGuestRequestMessageIntervalSec
250(4) = wanderGhostIntervalLifeTime
254(12) = pad13
260(4) = YellowMonkTimeOutTime
264(4) = YellowMonkDownloadSpan
268(4) = YellowMonkOverallFlowTimeOutTime
26C(4) = pad14
270(8) = pad14
