//Format[dec]:Index(size) = Name 
000(4) = appearNum
001(4) = paramId1
002(4) = rate1
003(4) = paramId2
004(4) = rate2
005(4) = paramId3
006(4) = rate3
007(4) = paramId4
008(4) = rate4
009(4) = paramId5
010(4) = rate5
011(4) = paramId6
012(4) = rate6
013(4) = paramId7
014(4) = rate7
015(4) = paramId8
016(4) = rate8
017(4) = paramId9
018(4) = rate9
019(4) = paramId10
020(4) = rate10
021(4) = paramId11
022(4) = rate11
023(4) = paramId12
024(4) = rate12
025(4) = paramId13
026(4) = rate13
027(4) = paramId14
028(4) = rate14
029(4) = paramId15
030(4) = rate15
031(4) = paramId16
032(4) = rate16
033(4) = paramId17
034(4) = rate17
035(4) = paramId18
036(4) = rate18
037(4) = paramId19
038(4) = rate19
039(4) = paramId20
040(4) = rate20
041(4) = paramId21
042(4) = rate21
043(4) = paramId22
044(4) = rate22
045(4) = paramId23
046(4) = rate23
047(4) = paramId24
048(4) = rate24
